"method","parameter","truth","bias","sd_emp","se_mean","rmse","cov_95"
"naive","gamma",0.8,-0.197928610392345,0.0441609549570728,0.0444612560867093,0.202785661166365,0.002
"naive","alpha0",-0.5,0.115040581580624,0.0359660628575803,0.0359718377816361,0.120520977313199,0.108
"naive","alpha1",0.7,-0.001063728413118,0.0216257871459733,0.0224660912374673,0.0216303222001072,0.962
"bca","gamma",0.8,-0.0470841789047124,0.0558400400979664,0.0456326475600498,0.0729985873912446,0.768
"bca","alpha0",-0.5,0.031972099219807,0.0420168125517253,0.0386865278669814,0.0527645415070954,0.85
"bca","alpha1",0.7,-0.00095129701251451,0.0217701383314836,0.0225388208691245,0.0217691527426312,0.962
"bca_corr","gamma",0.8,-0.0470841789047124,0.0558400400979664,0.0557330537144323,0.0729985873912446,0.868
"bca_corr","alpha0",-0.5,0.031972099219807,0.0420168125517253,0.0395063020805676,0.0527645415070954,0.864
"bca_corr","alpha1",0.7,-0.00095129701251451,0.0217701383314836,0.0224737487641957,0.0217691527426312,0.96
"bcm","gamma",0.8,0.00332230445569886,0.0596798865412917,0.0462298408215072,0.0597126719110998,0.864
"bcm","alpha0",-0.5,0.00422023897239295,0.0441501216430173,0.0397025187402645,0.0443073943218865,0.922
"bcm","alpha1",0.7,-0.000905446271392038,0.0218921259258417,0.0226045935528034,0.0218889579502585,0.956
"bcm_corr","gamma",0.8,0.00332230445569886,0.0596798865412917,0.0595556027310827,0.0597126719110998,0.94
"bcm_corr","alpha0",-0.5,0.00422023897239295,0.0441501216430173,0.0408533339454328,0.0443073943218865,0.93
"bcm_corr","alpha1",0.7,-0.000905446271392038,0.0218921259258417,0.0224767700544223,0.0218889579502585,0.954
"cs","gamma",0.8,0.00614619201487475,0.0606725358834393,0.0611885783167454,0.0609226556675748,0.944
"cs","alpha0",-0.5,-0.00248682474482719,0.0452822848100976,0.0453157285514549,0.04530528274163,0.954
"cs","alpha1",0.7,-0.000891105559786976,0.0218929829947262,0.0227245491471776,0.0218892249318526,0.958
"onestep","gamma",0.8,0.00217771577518001,0.0525568765538544,0.0533100591508519,0.0525494364246503,0.952
"onestep","alpha0",-0.5,0.000171272124364441,0.0407663958423904,0.0413358760550828,0.0407259691850187,0.952
"onestep","alpha1",0.7,-0.000977740978408468,0.0209709315971769,0.0222358571469811,0.0209727535037778,0.952
